file	nr	chembl_id	inchi_key	tautomer_smiles	smile
vanwesten_tauromer.csv	284	JNK_Inhibitor_IX	WQGDQGAFSDMBLA-UHFFFAOYSA-N	N#Cc3c(NC(=O)c2cccc1ccccc12)sc4c3CCCC4	N#Cc3c(NC(=O)c2cccc1ccccc12)sc4c3CCCC4
vanwesten_tauromer.csv	285	JNK_Inhibitor_Negative_Control	ODZGYELAMAOARP-UHFFFAOYSA-N	O=C1c4ccccc4(c2nn(c3cccc1c23)C)	O=C1c4ccccc4(c2nn(c3cccc1c23)C)
vanwesten_tauromer.csv	286	JNK_Inhibitor_VIII	KQMPRSZTUSSXND-UHFFFAOYSA-N	N#Cc1c(nc(cc1(N))NC(=O)Cc2cc(OC)ccc2(OC))OCC	N#Cc1c(nc(cc1(N))NC(=O)Cc2cc(OC)ccc2(OC))OCC
vanwesten_tauromer.csv	287	JWE_035	PXGLIUGVLBRUBV-UHFFFAOYSA-N	O=C3c1ccccc1N(c2nc(ncc2N3C)Nc4ccc(c(c4)C(F)(F)F)CN5CCN(CC)CC5)C	O=C3c1ccccc1N(c2nc(ncc2N3C)Nc4ccc(c(c4)C(F)(F)F)CN5CCN(CC)CC5)C
vanwesten_tauromer.csv	288	K252a	XTCFVRKDQJONAZ-UHFFFAOYSA-N	O=C(OC)C8(O)(CC3OC8(N2C1CCCCC1C6C2C7N3C4CCCCC4C7(C5C(=O)NCC56))(C))	O=C1NCc8c1c3c2ccccc2n6c3c5c8(c4ccccc4n5C7(OC6CC7(O)(C(=O)OC))(C))
vanwesten_tauromer.csv	290	Kenpaullone	SNVZIEGSFNELBD-UHFFFAOYSA-N	OC3N=c1ccccc1c4[nH]c2ccc(cc2c4(=C3))Br	O=C4Nc1ccccc1c3[nH]c2ccc(cc2c3C4)Br
vanwesten_tauromer.csv	291	Ki_20227	SHPFDGWALWEPGS-UHFFFAOYSA-N	O=C(Nc3ccc(Oc2ccnc1cc(OC)c(OC)cc12)cc3(OC))NC(c4nccs4)C	O=C(Nc3ccc(Oc2ccnc1cc(OC)c(OC)cc12)cc3(OC))NC(c4nccs4)C
vanwesten_tauromer.csv	292	Ki_8751	LFKQSJNCVRGFCC-UHFFFAOYSA-N	O=C(Nc1ccc(F)cc1(F))Nc4ccc(Oc3ccnc2cc(OC)c(OC)cc23)cc4(F)	O=C(Nc1ccc(F)cc1(F))Nc4ccc(Oc3ccnc2cc(OC)c(OC)cc23)cc4(F)
vanwesten_tauromer.csv	293	KIN001_127	RRHONYZEMUNMJX-UHFFFAOYSA-N	O=C(Nc1ncc(s1)Sc3cc(C(=O)N2CCN(C(=O)C)CC2)c(OC)cc3C)c4ccc(cc4)CNC(C)C(C)C	O=C(Nc1ncc(s1)Sc3cc(C(=O)N2CCN(C(=O)C)CC2)c(OC)cc3C)c4ccc(cc4)CNC(C)C(C)C
vanwesten_tauromer.csv	295	KN_62	RJVLFQBBRSMWHX-UHFFFAOYSA-N	O=C(N2CCN(c1ccccc1)CC2)C(N(C)S(=O)(=O)c4cccc3cnccc34)Cc7ccc(OS(=O)(=O)c6cccc5cnccc56)cc7	O=C(N2CCN(c1ccccc1)CC2)C(N(C)S(=O)(=O)c4cccc3cnccc34)Cc7ccc(OS(=O)(=O)c6cccc5cnccc56)cc7
vanwesten_tauromer.csv	298	KRN633	VPBYZLCHOKSGRX-UHFFFAOYSA-N	O=C(Nc3ccc(Oc1ncnc2cc(OC)c(OC)cc12)cc3Cl)NCCC	O=C(Nc3ccc(Oc1ncnc2cc(OC)c(OC)cc12)cc3Cl)NCCC
vanwesten_tauromer.csv	299	KT5720	ZHEHVZXPFVXKEY-UHFFFAOYSA-N	O=C1NCc8c1c3c2ccccc2n6c3c5c8(c4ccccc4n5C7(OC6CC7(O)(C(=O)OCCCCCC))(C))	O=C1NCc8c1c3c2ccccc2n6c3c5c8(c4ccccc4n5C7(OC6CC7(O)(C(=O)OCCCCCC))(C))
vanwesten_tauromer.csv	300	KT5823	QTYMDECKVKSGSM-UHFFFAOYSA-N	O=C(OC)C8(OC)(CC3OC8(n6c7ccccc7(c5c6(c2c(c1ccccc1n23)c4C(=O)N(C)Cc45)))(C))	O=C(OC)C8(OC)(CC3OC8(n6c7ccccc7(c5c6(c2c(c1ccccc1n23)c4C(=O)N(C)Cc45)))(C))
